player_id,first_name,last_name,position
3716,Kentrell,Brice,SS
4048,Jordan,Mudge,C
3470,Paul,McRoberts,WR
262,Evan,Mathis,G
3644,Lawrence,Thomas,RB
115,Cullen,Loeffler,LS
3860,Kenton,Adeyemi,DE
1833,Damien,Williams,RB
1404,Leon,McFadden,CB
3763,Woodrow,Hamilton,NT
2323,Marcus,Peters,CB
1495,Ryan,Nassib,QB
6443,Eric,Dungey,QB
1531,Sharrif,Floyd,NT
3960,Bill,O'Brien,NA
4582,Deon,Hollins,OLB
78,Ahmad,Bradshaw,RB
3686,Joe,Sommers,TE
4257,Jack,Tocho,FS
5452,J.T.,Gray,SS
1299,Kyle,Miller,TE
6550,Dino,Boyd,OT
1982,Aaron,Colvin,CB
572,Darrell,Stuckey,FS
904,DeMarco,Murray,RB
5448,Robert,Jackson,CB
6141,Drue,Tranquill,ILB
661,Alex,Smith,TE
5888,Amani,Oruwariye,CB
4350,Ricky,Ortiz,RB
2582,Cole,Stoudt,QB
761,Brian,St Pierre,QB
6039,Ty,Johnson,RB
79,Stefan,Charles,NT
116,Ryan,Clady,OT
2232,Demetrius,Rhaney,G
93,D'Qwell,Jackson,ILB
5833,Kevin,O'Connell,QB
2361,Senquez,Golson,CB
3064,Derrick,Lott,DT
113,Jahri,Evans,G
6065,Cody,Barton,ILB
4466,Noble,Nwachukwu,DT
1249,Terrell,Manning,ILB
5617,Austin,Barnard,P
1782,Brian,Folkerts,C
4432,Corey,Vereen,DE
6139,Jace,Sternberger,TE
1534,Michael,Mauti,ILB
2410,Jamison,Crowder,WR
1863,Zach,Thompson,OLB
5778,Zay,Henderson,DT
4117,Derek,Rivers,DE
3749,Kache,Palacio,ILB
1630,Darius,Eubanks,ILB
87,Jeff,King,TE
1649,Jordan,Kovacs,FS
1903,Taylor,Gabriel,WR
466,Vontae,Davis,CB
3741,Shakiel,Randolph,SS
222,Josh,Morgan,WR
5806,John,Wolford,QB
4930,Franko,House,TE
2900,Terrence,Franks,NA
3209,Devontae,Booker,RB
2535,Mark,Nzeocha,OLB
4699,Kevin,Snead,WR
4821,Jamari,Staples,WR
928,Randall,Cobb,WR
4873,Kris,Richard,NA
983,Mike,Person,G
3105,Paul,Guenther,NA
6286,Tim,Harris,CB
24,Matt,Ryan,QB
4849,Armagedon,Draughn,FS
225,LP,Ladouceur,LS
1126,Brock,Osweiler,QB
6537,Ryan,Anderson,G
4345,Bam,Bradley,ILB
2561,Anthony,Boone,QB
2485,Kaelin,Clay,WR
2185,Corey,Brown,WR
4288,Chase,Roullier,C
1115,Antwon,Blake,CB
1050,Marcus,Thigpen,RB
5624,Keith,Ford,RB
2845,Tevin,Westbrook,TE
6674,Garrett,McGhin,G
138,Ben,Roethlisberger,QB
3214,Hunter,Henry,TE
2191,Marcus,Lucas,WR
5998,Clifton,Duck,CB
3777,Dillon,Gordon,TE
2408,Bryce,Petty,QB
6093,Jake,Bailey,P
6716,Olive,Sagapolu,NT
1981,Deandre,Coleman,DT
672,Donald,Washington,CB
2010,Jordan,Sullen,CB
2913,Gavin,Lutman,WR
1296,Cory,Harkey,TE
